count_0_0_1,19251500,33
count_0_0_3,17651300,99
count_0_2_1,17490800,101
count_0_2_3,15244800,303
count_2_2_1,15962500,303
count_2_2_3,15308800,909
integral_0_0_1,17427000,50280.9819046111
integral_0_0_3,16996600,150359.80595868494
integral_0_2_1,14936300,137206.52165494877
integral_0_2_3,15103500,410500.0926232009
integral_2_2_1,27111800,150015.4462400002
integral_2_2_3,24654100,450274.958759844
mean_0_0_1,18076900,51.213175984992745
mean_0_0_3,17021500,51.08962067256882
mean_0_2_1,19155600,50.18796473289791
mean_0_2_3,14835300,50.055512091677144
mean_2_2_1,25331300,50.011858310593745
mean_2_2_3,24556300,50.02020573132621
median_0_0_1,13064300,56.17347123630284
median_0_0_3,16565000,53.653781147278934
median_0_2_1,17082500,49.067296978055005
median_0_2_3,7112600,49.791636133350906
median_2_2_1,14040100,49.92907121931702
median_2_2_3,17261000,49.8705158636379
spread_0_0_1,19658500,100.87291446738307
spread_0_0_3,9512300,101.56242604464819
spread_0_2_1,13553600,100.87291446738307
spread_0_2_3,18068100,101.56242604464819
spread_2_2_1,12901700,101.78578292323719
spread_2_2_3,16464200,102.34889843315433
stddev_0_0_1,13634400,33.15045250910355
stddev_0_0_3,10615200,32.675363297477595
stddev_0_2_1,19395000,29.37397381192281
stddev_0_2_3,14321600,29.14672335512444
stddev_2_2_1,16619000,29.196561560902826
stddev_2_2_3,16452600,29.14768777366462
sum_0_0_1,14834200,1690.0348075047607
sum_0_0_3,13205800,5057.872446584313
sum_0_2_1,13798600,5068.984438022689
sum_0_2_3,13900400,15166.820163778175
sum_2_2_1,9010300,15153.593068109902
sum_2_2_3,14404200,45468.36700977553
